lyrics_filename,mood,mood_cats,lyrics
Backyard_Babies___Hey__Im_Sorry,happy,0,"""Hey, I’m Sorry LyricsWith my plastic gun like father and son\nI walked in the other day\nHands up, down on the floor\nIf you wanna live some more\nLive some more, some more\n\nWith my shaky legs and a messed up heart\nMy plans didn't work out that smart\nI had to drive two blocks more\nSo I wouldn't get caught, wouldn't get caught\nWouldn't get caught, it's not smart\nLet's go\nLet's go\nThat's right\n\nHey, I'm sorry that you didn't get paid today\nWhy don't you come back another day\n\nLet's go\nThat's right\n\nGot rid of my clothes and I cut my hair\nPlan b was just so unfair\nI got myself to thank for all that spank\n'Cause I left a finger right in the bank\n\nHey, I'm sorry that you didn't get paid today\nWhy don't you come back another day\nHey, I'm sorry that you didn't get paid today\nWhy don't you come back another day\n\nI said, hey, I'm sorry that you didn't get paid today\nWhy don't you come back another day\nWhy don't you come back another day\nYou're welcome back another dayYou might also likeEmbed"", 'default'"
Elliott_Smith___Needle_In_The_Hay,calm,2,"""Needle in the Hay Lyrics[Verse 1]\nYour hand on his arm\nHaystack charm around your neck\nStrung out and thin\nCalling some friend, trying to cash some check\nHe's acting dumb\nThat's what you've come to expect\n\n[Chorus]\nNeedle in the hay\nNeedle in the hay\nNeedle in the hay\nNeedle in the hay\n[Verse 2]\nHe's wearing your clothes\nHead down to toes a reaction to you\nYou say you know what he did\nBut you idiot kid\nYou don't have a clue\nSometimes they just get caught in the eye\nYou're pulling him through\n\n[Chorus]\nNeedle in the hay\nNeedle in the hay\nNeedle in the hay\nNeedle in the hay\n\n[Verse 3]\nNow on the bus\nNearly touching this dirty retreat\nFalling out\n6th and Powell, a dead sweat in my teeth\nGonna walk, walk, walk\nFour more blocks plus the one in my brain\nDown downstairs to the man\nHe's gonna make it all okay\nI can't be myself\nI can't be myself and I don't want to talk\nI'm taking the cure so I can be quiet wherever I want\nSo leave me alone\nYou ought to be proud that I'm getting good marks\nYou might also like[Chorus]\nNeedle in the hay\nNeedle in the hay\nNeedle in the hay\nNeedle in the hay\nNeedle in the hay\nNeedle in the hay\nNeedle in the hay\nNeedle in the hay16Embed"", 'default'"
A_Fine_Frenzy___Near_To_You,sad,1,"""Near to You  He and I had something beautiful\nBut so dysfunctional, it couldn't last\nI loved him so but I let him go\n‘Cause I knew he'd never love me back\n\nSuch pain as this\nShouldn't have to be experienced\nI'm still reeling from the loss\nStill a little bit delirious\n\nNear to you, I am healing\nBut it's taking so long\nCause though he's gone\nAnd you are wonderful\nIt's hard to move on\nYet, I'm better near to you\nYou and I have something different\nAnd I'm enjoying it cautiously\nI'm battle scarred\nBut I am working oh so hard\nTo get back to who I used to be\n\nHe's disappearing, fading steadily\nWell, I'm so close to being yours\nWon't you stay with me, please\n\nI only know that\nI am better where you are\nI only know that\nI am better where you are\nI only know that I belong\nWhere you are"
Endo___Malice,anger,3,"""Malice LyricsI can't breathe, 'cause I don't want to breathe no more\nI can't see, 'cause I don't want to see at all\nI can't feel, 'cause I don't want to feel no more\nI can't deal, 'cause I don't want to deal at all\n\nIn a state???\n\nI can't breathe, 'cause I don't want to breathe no more\nI can't see, 'cause I don't want to see at all\nI can't feel, 'cause I don't want to feel no more\nI can't deal, 'cause I don't want to deal at all\nI'm paranoid, socially paranoid\nI'm waiting on an asteroid, to come along and make us well\nI'm paranoid, mentally in a void\nI'm waiting on an asteroid, to come along and make us well\n\nFuck your perfection, your perfection\nYou want that personal attention, your perfection x2\n\nIn a state of malice, in a state of shame\nI wouldn't be so calloused, if I had you to blame\nNow I lay me down to rest, now I lay me down\nNow I lay me down for death, now I lay me\n\nFuck your perfection, your perfection\nYou want that personal attention, your perfection x2\n\nNow I lay me down to rest, now I lay me down for death\n\nNo!\n\nNow I lay me down to rest I can't breathe, 'cause I don't want to breathe no more\nNow I lay me down can't see, see, can't see\nNow I lay me down to rest, now I lay me down\nNow I lay me down for death, now I lay me\n\nFuck your perfection, your perfection\nYou want that personal attention, your perfection x2You might also likeEmbed"", 'default'"
Allister___Scratch,happy,0,"""Scratch LyricsI've been sitting here for hours\nI've burned an image of you in my mind\nFinding comfort in the words you say\nBut it's not the same\n\nI know you're worth the wait\nAnd I can't explain\nWhat I know is true inside\nBut I would turn away the world\nJust to have you here with me tonight\nWe can take our time\nMaking sure that everything feels right\nIt won't be easy but I'm not afraid\nYou're so far away\nWe made our start from scratch\nIt's now or never but we can't look back\nI need you with me for another day\nYou're so far away\n\nI've been sitting here forever\nYour voice is resonating in my mind\nCountless hours with you on the phone\nAnd now I'm not alone\n\nI know you're worth the wait\nAnd I can't escape\nWhat I know is true inside\nBut I would turn away the world\nJust to have you here with me tonight\n\nWe can take our time\nMaking sure that everything feels right\nIt won't be easy but I'm not afraid\nYou're so far away\nWe made our start from scratch\nIt's now or never but we can't look back\nI need you with me for another day\nYou're so far away, Yeah far away\nYou might also likeI know there's no time left for second chances\nStill we're right despite these circumstances\nYou've changed me more than you could ever know\nSo we will just hang on until tomorrow\nSo take my hand, don't ever let it go\nThis time is right\n\nWe can take our time\nMaking sure that everything feels right\nIt won't be easy but I'm not afraid\nYou're so far away ... Yeah far awayEmbed"", 'default'"
Jack_Johnson___Flake,happy,0,"""Flake Lyrics[Verse 1]\nI know she said it's alright\nBut you can make it up next time\nI know she knows it's not right\nThere ain't no use in lying\nMaybe she thinks I know something\nMaybe, maybe she thinks it's fine\nOr maybe she knows something I don't\nI'm so, I'm so tired, I'm so tired of trying\n\n[Chorus]\nIt seems to me that maybe\nIt pretty much always means no\nSo don't tell me you might just let it go\nAnd often times we're lazy\nIt seems to stand in my way\nBecause no one, no, nah, no one likes to be let down\n[Verse 2]\nI know she loves the sunrise\nNo longer sees it with her sleeping eyes\nAnd I know that when she said she's going to try\nWell it might not work because of other ties and\nI know she usually has some other ties and\nI wouldn't want to break 'em, nah, I wouldn't want to break 'em\nMaybe she'll help me to untie this but\nUntil then, well, I'm going to have to lie too\n\n[Chorus]\nIt seems to me that maybe\nIt pretty much always means no\nSo don't tell me you might just let it go\nAnd often times we're lazy\nIt seems to stand in my way\nBecause no one, no, nah, no one likes to be let down\nIt seems to me that maybe\nIt pretty much always means no\nSo don't tell me you might just let it go\n\n[Outro]\nThe harder that you try baby, the further you'll fall\nEven with all the money in the whole wide world\nPlease, please, please don't pass me\nPlease, please, please don't pass me\nPlease, please, please don't pass me by\nEverything you know about me now baby, you're going to have to change\nYou're going to have to call it by a brand new name, ooh\nPlease, please, please don't drag me\nPlease, please, please don't drag me\nPlease, please, please don't drag me down\nAnd just like a tree down by the water baby I shall not move\nEven after all the silly things you do\nPlease, please, please don't drag me\nPlease, please, please don't drag me\nPlease, please, please don't drag me downSee Jack Johnson LiveGet tickets as low as $72You might also like6Embed"", 'default'"
God_Module___Still_So_Strange,anger,3,"""Still So Strange LyricsI start to move\nTo step outside what's become of you\nRemember the time we crossed the line?\nLost our minds for you\nI still can't remember why\nWe felt the need to bring you back to life\nAfter all of the things that\nWe knew you would do\n\nEverything is still so strange\nThat it's damaging my brain\nAll the things that I can see\nAre not how they are supposed to be\nAnd I still want to believe\nThat misery and agony and suffering\nWill someday deliver me\nInto a world where you belong to me\nAn extinct disease\nLook into my eyes - come unto me\nScreaming out the backward names\nOf those you would deceive\nYour glamorized god is paralyzed\nTo blackout the miracles I describe\nLearning a new way to terrorize\nAll that we believeYou might also likeEmbed"", 'default'"
Frank_Sinatra___Blue_Skies,happy,0,"""Blue Skies LyricsBlue skies, smilin' at me\nNothin' but blues skies do I see\n\nBluebirds singing a song\nNothin' but bluebirds all day long\n\nNever saw the sun shinin' so bright\nNever saw things goin' so right\nNoticin' the days hurrying by\nWhen you're in love, my how they fly\nBlue days, all of them gone\nNothin' but blue skies from now onYou might also likeEmbed"", 'default'"
Frank_The_Baptist___Falling_Stars,calm,2,"""Falling Stars  Waiting patiently for me\nI see that you haven't lost faith yet\nSomeday our wishes will all come true\nSee if the falling stars would like to dance\nThe romance a tragedy provides\nSee if the falling stars would like to dance\n\nBreaking her will so she'd believe in me\nI hurt her I hurt her\nBreaking my will so I'd believe in her\nThere, but for our grace, we go\nThe shadowy hand that held the light is gone\nAnd wisdom can't be memorized\nI see the changing has already begun\nSee if the falling stars would like to dance\nThe romance a tragedy provides\nSee if the falling stars would like to dance"
Boyzone___Words,happy,0,"""Words Lyrics[Verse 1]\nSmile an everlasting smile\nA smile can bring you near to me\nDon't ever let me find you gone\n'Cause that would bring a tear to me\n\n[Pre-Chorus]\nThis world has lost its glory\nLet's start a brand new story\nNow my love\nYou think that I don't even mean\nA single word I say\n[Chorus]\nIt's only words\nAnd words are all I have\nTo take your heart away\n\n[Verse 2]\nTalk in everlasting words\nAnd dedicate them all to me\nAnd I will give you all my life\nI'm here if you should call to me\n\n[Pre-Chorus]\nYou think that I don't even mean\nA single word I say\n\n[Chorus]\nIt's only words\nAnd words are all I have\nTo take your heart away\nIt's only words\nAnd words are all I have\nTo take your heart away\n\n[Post-Chorus]\nDa da da da da da da\nDa da da da da da da da da da\nDa da da da da da da\nDa da da da da da da da da da\nYou might also like[Pre-Chorus]\nThis world has lost its glory\nLet's start a brand new story\nNow my love\nYou think that I don't even mean\nA single word I say\n\n[Chorus]\nIt's only words\nAnd words are all I have\nTo take your heart away\nIt's only words\nAnd words are all I have\nTo take your heart away\n\n[Outro]\nIt's only words\nAnd words are all I have\nTo take your heart awayEmbed"", 'default'"
Derek_Webb___Nothing_Without_You,happy,0,"'Nothing Without You LyricsI’ve got the dress, i’ve got the ring\nI’ve got a song that i can sing\nI’ve got the bread, i’ve got the wine\nBut i’ve got the life i’ve left behind\nI’ve got everything, but i’ve got nothing\nWithout you\n\nI’ve got the law on my heart\nI’ve got your love tearing me apart\nI’ve got a vow that I can’t keep\nBut I’ve got your promise getting me to sleep\nI’ve got everything, but I’ve got nothing\nWithout you\nI’ve got your works, I’ve got my faith\nI’ve got all the wine that you can make\nI am the kiss of your betrayer\nBut I’ve got your grace on every layer\nI’ve got everything, but I’ve got nothing\nWithout you\n\n‘cause you see it’s all just a show\nYou either hate it or you don’t\nAnd only time will tell the difference\nIf you get it clearly or with interference\n\nI’ve got the race, got the election\nBut win or lose, I’ve got protection\nI found a lobbyist in the devil\nBut i got salvation in a rebel\nI’ve got everything, but I’ve got nothing\nWithout youYou might also likeEmbed', 'default'"
Cracker___Mr_Wrong,happy,0,"""Mr. Wrong LyricsWell, meet me by the river that goes nowhere\nLet me lay my sorry trip on you\nWon't you meet me by the river, little darling?\nI might just let you see my bad tattoo\n\nWell I was gonna bring you flowers, but I didn't\nIt's the thought that counts and I think I'm a bit too broke\nBut there's some change in my ashtray\nMaybe just enough to pay\nFor a half pint of somethin' probably make us choke\nWell, no I'd rather not go and meet your family\nThey'd probably send me back where I belong\nDon't want to hear about your Mr. Right\nCause he's out of town tonight\nBaby come and spend some time with Mr. Wrong\n\nI drive a one-eyed Malibu without a muffler\nAnd a tape deck that works if you kick it hard enough\nBaby if you'd like to read, I got some great pornography\nAnd a ten pound flashlight rolling in the trunk\n\nWell, no I'd rather not go and meet your family\nThey'd probably send me back where I belong\nDon't want to hear about your Mr. Right\nCause he's out of town tonight\nBaby come and spend some time with Mr. Wrong\n\nNow, do you have a girlfriend and does she look as good as you?\nHey, would she like to meet my brother?\nHe'll be out of jail in a month or two\n\nWell, no I'd rather not go and meet your family\nThey'd probably send me back where I belong\nDon't want to hear about your Mr. Right\nCause he's out of town tonight\nBaby come and spend some time with Mr. Wrong\nWhere I come from they call me Mr. WrongYou might also likeEmbed"", 'default'"
Jr_Walker__The_All_Stars___Come_See_About_Me,happy,0,"""Come See About Me Lyrics[Verse 1]\nI've been crying for you\n'Cause I'm lonely, so blue\nSmiles have all turned to tears\nBut tears won't wash away my fears\nThat you're never ever gonna return Hey, hey, hey, hey\nTo ease the fire that within me burns Hey, hey, hey, hey\n\n[Chorus]\nKeeps me crying baby for you Crying, crying, crying\nKeeps me sighin' baby for you Sighing, sighing, sighing\nSo why don't you hurry?\nCome on girl, see about me Come see, see about you, yeah\nSee about you yeah, that's me Come see, see about you now\n[Saxophone Solo]\nCome see, see about you yeah\nCome see, see about you yeah\n\n[Verse 2]\nI've given up my friends just for you\nMy friends have gone and you too\nNo more peace shall I find\nUntil you come back and be mine\nNo matter what you do or say Hey, hey, hey, hey\nI'm gonna love you anyway Hey, hey, hey, hey\n\n[Chorus]\nKeep on crying baby for you Crying, crying, crying\nI'm gonna keep on sighin' baby for you Sighing, sighing, sighing\nSo come on, hurry\nHey girl, and see about me Come see, see about you, yeah\nSee about you girl, that's me\n\n[Saxophone Solo]\nJust cryin' for you\nJust sighin' for you\nJust cryin' for you\nJust sighin' for youYou might also likeEmbed"", 'default'"
Incubus___Monuments_and_Melodies,sad,1,"'Monuments And Melodies Lyrics[Verse 1]\nMy hands are trembling\nAnd my eyes are on fire\nThis house is crumbling\nLeft brain, left out, on the wire\nYeah, yeah\n\n[Chorus]\nYou make me happy\nYou magnify my better half, yeah\nYou make me certain\nThough all I have today is your photograph\n[Verse 2]\nMy past is perilous\nBut each scar I bear sings\nMonuments to where I have been\nAnd melodies to where I am going\nYeah, yeah\n\n[Chorus]\nYou make me happy\nYou magnify my better half\nYou make me certain\nThough all I have today is your photograph\n\n[Verse 3]\nWhen will I see you again?\nStill-life can only go so far\nI need you in front of me saying my name\nSaying to me, saying to me, saying to me\nI want you the way you are\nYou, the way you are\n\nYeah, yeah\n\n[Chorus]\nYou make me happy\nYou magnify my better half\nYou make me certain\nThough all I have today is your photograph\nSee Incubus LiveGet tickets as low as $48You might also like[Outro]\nYou make me happy\nYou make me happy\nYou make me happy, oh1Embed', 'default'"
Antony__The_Johnsons___Another_World,sad,1,"""Another World LyricsI need another place\nWill there be peace?\nI need another world\nThis one's nearly gone\n\nStill have too many dreams\nNever seen the light\nI need another world\nA place where I can go\n\nI'm gonna miss the sea\nI'm gonna miss the snow\nI'm gonna miss the bees\nI'll miss the things that grow\nI'm gonna miss the trees\nI'm gonna miss the sound\nI'll miss the animals\nI'm gonna miss you all\n\nI need another place\nWill there be peace?\nI need another world\nThis one's nearly gone\n\nI'm gonna miss the birds\nSinging all their songs\nI'm gonna miss the wind\nBeen kissing me so long, oh\n\nAnother world\nAnother world\nAnother world\nAnother worldYou might also likeEmbed"", 'default'"
Diana_Vickers___Put_It_Back_Together,calm,2,"""Put It Back Together  If you think you're sinking, you probably are\nOnly you can know, only you can know\nIf you think you're falling, you probably will\nYou've got to lose yourself, and not let go\n\nI think we'll be alright\nI think we will survive\nEverybody gets a little scared like this sometimes\nI think we'll be alright\nI think we will survive\nYou've got to fall apart\nAnd Put It Back Together again\nI never said I loved you quite enough\nI hope it's not too late, I hope it's not too late\nI've got this one fresh second, one fresh minute, one fresh hour of my day\nTo pray it's not too late, I hope it's not too late\n\nI think we'll be alright\nI think we will survive\nEverybody gets a little scared like this sometimes\nI think we'll be alright\nI think we will survive\nYou've got to fall apart\nAnd Put It Back Together again\nYou've got to fall apart\nAnd Put It Back Together again\n\nOoooh...\n\nI going to tell you I love you, one more time\nAgain and again\nAgain and again\nI've got this one fresh second, one fresh minute, one fresh hour of my day\nTo pray it's not too late, I hope it's not too late\n\nI think we'll be alright\nI think we will survive\nEverybody gets a little scared like this sometimes\nI think we'll be alright\nI think we will survive\nYou've got to fall apart\nAnd Put It Back Together again\nYou've got to fall apart\nAnd Put It Back Together again\nYou might also likeOooh...\n\nYou've got to fall apart\nAnd Put It Back Together again"
Dave_Alvin___Border_Radio,calm,2,"""Border Radio LyricsOne more midnight, her man is still gone\nThe nights move too slow\nShe tries to remember the heat of his touch\nWhile listening to the Border Radio\n\nShe calls toll-free and requests an old song\nSomething they used to know\nShe prays to herself that wherever he is\nHe's listening to the Border Radio\n\nThis song comes from nineteen sixty-two\nDedicated to a man who's gone\nFifty thousand watts out of Mexico\nThis is the Border Radio\nThis is the Border Radio\nShe thinks of her son, asleep in his room\nAnd how her man won't see him grow\nShe thinks of her life and she hopes for a change\nWhile listening to the Border Radio\n\nThis song comes from nineteen sixty-two\nDedicated to a man who's gone\nFifty thousand watts out of Mexico\nThis is the Border Radio\nThis is the Border Radio\n\nThey play her tune but she can't concentrate\nShe wonders why he had to go\nOne more midnight and her man is still gone\nShe's listening to the Border Radio\n\nThis song comes from nineteen sixty-two\nDedicated to a man who's gone\nFifty thousand watts out of Mexico\nThis is the Border Radio\nThis is the Border RadioYou might also likeEmbed"", 'default'"
Cibelle___Waiting,calm,2,"""Waiting LyricsSitting, staring\nAt my cigarette ash\nHmmmmm\n\nWaiting hours\nSmoke climbs to stars\nThinking 'bout life\n\nThinking 'bout life\nWhen am I gonna see\nOr is it\nGoing to be after I fly away, fly away\nHmmmmm\nSitting, staring\nAt a cup of tea\nWandering, sweet time\nWaves like the sea\n\nSitting, staring\nAt my cigarette ash\n\nWaiting hours\nSmoke climbs to stars\n\nThinking 'bout life\nWhen am I gonna see\nOr is it\nGoing to be after I fly away\nHmmmmm\n\nSitting, staring\nAt a cup of tea\nWandering, sweet times\nWaves like the sea\nWaves like the sea\nWaves like the sea\n\nTic toc tic toc\nTic toc, tic toc\nWhat's goin' on\nTic toc tic toc\nShall I hope from home ?\nTic toc, tic toc\nYou might also likeSitting, staring\nAt my cigarette ash\nHmm\n\nWaiting hours\nSmoke climbs to stars\nHmm...\n\nThinking 'bout life\nWhen am I gonna see Parapa...\nOr is it going to be\nAfter I fly away\nParapa...\n\nTic toc tic toc Parapa...\n\nWaiting hours\nSmoke climbs to stars\n\nParapa...Embed"", 'default'"
Gavin_DeGraw___Waterfall,happy,0,"""Waterfall LyricsSay it by mine\nCarry waves of light\nCaught in time\nWaitin' on the light\n\nThen the winds, they go by\nFaster than fireflies\n\nHold my hand\nTake my life\n[Chorus:]\nWaterfall\nWaterfall\nWaterfall\nWaterfall, you're beautiful\n\nLive by me\nStand next to me\n\nYour lovely\nLet nobody else see\nAnd the tide is callin'\nShadows slowly fallin'\n\nWaterfall, lovin me\n\n[Chorus]\nAll the terrible things I used to say\nI'd like to throw them all away\nTell me your story\nAll about the sin\nI want to get to know you again\n\n[Chorus]\nBeautiful, you're beautiful, beautiful...[repeated]\nYou might also likeWaterfall...\n\nYou're beautiful\n\nBeautiful, beautiful, beautiful, beautiful....[repeated 3x]Embed"", 'default'"
Bonobo___Terrapin,calm,2,"'Terrapin Lyrics[No Lyrics]See Bonobo LiveGet tickets as low as $39You might also likeEmbed', 'default'"
Don_McLean___Castles_In_The_Air,happy,0,"""Castles in the Air LyricsAnd if she asks you why, you can tell her that I told you\nThat I'm tired of castles in the air\nI've got a dream I want the world to share\nAnd castle walls just lead me to despair\n\nHills of forest green where the mountains touch the sky\nA dream come true, I'll live there till I die\nI'm asking you to say my last goodbye\nThe love we knew ain't worth another try\nSave me from all the trouble and the pain\nI know I'm weak, but I can't face that girl again\nTell her the reasons why I can't remain\nPerhaps she'll understand if you tell it to her plain\n\nBut how can words express the feel of sunlight in the morning\nIn the hills, away from city strife\nI need a country woman for my wife;\nI'm city born, but I love the country life\n\nFor I cannot be part of the cocktail generation:\nPartners waltz, devoid of all romance\nThe music plays and everyone must dance\nI'm bowing out. I need a second chance\n\nSave me from all the trouble and the pain\nI know I'm weak, but I can't face that girl again\nTell her the reasons why I can't remain\nPerhaps she'll understand if you tell it to her plain\n\nAnd if she asks you why, you can tell her that I told you\nThat I'm tired of castles in the air\nI've got a dream I want the world to share\nAnd castle walls just lead me to despairSee Don McLean LiveGet tickets as low as $114You might also like1Embed"", 'default'"
Frog_Eyes___One_in_Six_Children_Will_Flee_In_Boats,sad,1,"""One in Six Children Will Flee in Boats  Silver gnomes all in my dome and cameras can finally roam\nBy themselves, they've got hearts to moan to moan\nAnd friends of mine have got friends with coke\nOh, rabbit, rabbit, you've this habit of breaking legs and nouveau carat\nAnd my heart has passed its final rite oh it's breaking legs for dollars\n\nOh, oh them boards they keep on creaking, creaking in my head\nOh these blue, oh these boards they keep on creaking, creaking in my head\nOh these blue boards, oh these blue, blue boards creaking on my ship\n\nThough the light is an un-described sanction\nWho you questioning in the blue-black dirt?\nOver that ridge a hunter lives\nStake him out with broken gifts\nBy the light, by the merry man\nWho gave his lives when he gave knives to children\nOh raise him up, oh stake him up\nOh grab the sun and drink his blood in cups\nOh don't wait to be a monarch man\nOh I'll bet you can, oh I know you can\n\nOh blue, oh these boards keep on creaking, creaking in my head\nOh these blue, oh these boards keep on creaking, creaking in my head\nOh these blue boards, oh these blue boards creaking on my ship\n\nThough the light is taking its time\nWho you questioned in the blue, blue-black dirt?"
Boyzone___Paradise,happy,0,"""Paradise LyricsIt's not often that you find someone\nWho can fulfill all your dreams inside\nLike an angel from above\nShe was the one for me, believe\n\nBut it doesn't wither like a flower in snow\nI always wanted you to know\n\nWe're going to build a bridge\nBetween our hearts\nGoing to cross the river of love\nInto paradise, paradise\nGoing to walk up the road, hand in hand\nTo the castle in the sky\nWhere we're going to live\nGoing to live, yeah\nAnd when she opens up her eyes\nIt's like a perfect sunrise outside\nI put my fingers through he hair\nAnd it feels like silk to me\n\nBut it doesn't wither like a flower in snow\nI always wanted you to know\n\nCHORUS\n\nYeah yeah yeah yeah\n\nDon't you know\nWe're going to build a bridge\nBetween our hearts\nGoing to cross the river of love\nInto paradise, paradise\n\nCHORUS to fadeYou might also likeEmbed"", 'default'"
Carpark_North___Fireworks,sad,1,"""Fireworks Lyrics[Verse 1]\nIt's on your hand\nThe scratching choices\nThe streets are shallow\nAnd so were the sounds\nImpatient road\nIs asking questions\nFrom the hour before this\nBefore anything\n\n[Chorus]\nFireworks went off that night, Alice went home\nDreams exploding in the sky, it's all very strong\nThere she goes alone, outside\nThinking you and I\n[Verse 2]\nThe tired tongue\nIs leaking stories\nFrom a mind's chaotic\nMap of the past\nSurrender now\nYou save the clicks and hours\n'Cause your sorrow's breaching\nIn the hours to come\n\n[Chorus]\nFireworks went off that night, Alice went home\nDreams exploding in the sky, it's all very strong\nThere she goes alone, outside\nThinking you and I\n\n[Bridge]\nThinking you and I\n\n[Chorus]\nFireworks went off that night, Alice went home\nDreams exploding in the sky, it's all very strong\nThere she goes alone, outside, outside\nWhen Alice went homeYou might also likeEmbed"", 'default'"
Breaking_Benjamin___You_Fight_Me,sad,1,"""You Fight Me Lyrics[Verse 1]\nYou fight me\nFlat on my lonely face, I fell\nFinding, in the end, I live well\nIn the light of the life that I have found\nIt's coming down\n\nI don't know what isn't real\nBut it's easy to beat me\nSuck it in\nLife is sink or swim\nLove is blinding\nNo surviving\nI don't know what I want to be yet\nBut I can show that I need to see this\nNo time for lies and empty fights\nI'm on your side\n\n[Pre-Chorus]\nCan't we live a life of peace of happiness?\nI don't think so\nNo denying I'm scared to lose the things I love\nI'm in control\n\n[Chorus]\nThis is how\nThis is how it's gonna end\nThis is how\nThis is how it's gonna end\nEnd\n\n[Verse 2]\nEveryone is waiting for here\nFor everyone\nLeave me alone\n\n[Chorus]\nThis is how\nThis is how it's gonna end\nThis is how\nThis is how it's gonna end\nThis is how\nThis is how it's gonna end\nThis is how\nThis is how it's gonna end\nSee Breaking Benjamin LiveGet tickets as low as $33You might also likeNo!\n\nThis is how\nThis is how it's gonna end\nEnd4Embed"", 'default'"
Britney_Spears___Heaven_On_Earth,happy,0,"""Heaven on Earth  [Intro]\nYour touch, your taste, your breath, your face\nYour hands, your head, you're sweet, your love\nYour teeth, your tongue, your eye, you're mine\nYour lips, you're fine, you're heaven on Earth\n\n[Verse 1]\nI've waited all my life for you\nMy favorite kiss\nYour perfect skin, your perfect smile\nWaking up and you're next to me I feel you next to me\nWrap me up in your arms and back to sleep\n[Pre-Chorus]\nThe palest green I've ever seen, the color of your eyes Lay my head on your chest and drift away\nYou're taking me so far away, one look and you stop time I dream of you and I'm almost half awake\nThe palest green I've ever seen, the color of your eyes You're taking me so far away, one look and you stop—\n\n[Chorus]\nFell in love with you and everything that you are\nNothing I can do, I'm really crazy about you\nWhen you're next to me, it's just like heaven on Earth\nYou're heaven, you're heaven, you're heaven on Earth\nTell me that I'll always be the one that you want\nI don't know what I'd do if I ever lose you\nLook at you and what I see is heaven on Earth\nI'm in love with you I'm in love with you\n\n[Post-Chorus]\nYour breath, your face, your hands, your head\nYou're sweet, your love, your tongue\n\n[Verse 2]\nI'd move across the world for you The world\nJust tell me when, just tell me where\nI'll come to you\nTake me back to that place in time\nImages of you occupy my mind\nYou might also like[Pre-Chorus]\nThe palest green I've ever seen, the color of your eyes Far away, but I feel you here with me\nYou're taking me so far away, one look and you stop time\nThe palest green I've ever seen, the color of your eyes Dream of you and you're almost next to me\nYou're taking me so far away, one look and you stop— Yeah\n\n[Chorus]\nFell in love with you and everything that you are\nNothing I can do, I'm really crazy about you\nWhen you're next to me, it's just like heaven on Earth\nYou're heaven, you're heaven, you're heaven on Earth\nTell me that I'll always be the one that you want\nI don't know what I'd do if I ever lose you\nLook at you and what I see is heaven on Earth\nI'm in love with you\n\n[Instrumental Break]\n\n[Bridge]\nFall off the edge of my mind\nI fall off the edge of my mind\nI fall off the edge of my mind for you When I just look at you, I feel like I'm gonna jump into heaven and you'll catch me\nI fall off the edge of my mind\nThe palest green I've ever seen, the color of your eyes Catch me if I jump, will you catch me?\nI fall off the edge of my mind for you It's taken me so far\nFor you\n[Chorus]\nFell in love with you and everything that you are Your touch\nNothing I can do, I'm really crazy about you Your taste, your breath, your face, your hands, your head\nWhen you're next to me, it's just like heaven on Earth We're so in love\nYou're Heaven, you're Heaven, you're Heaven on Earth\nTell me that I'll always be the one that you want\nI don't know what I'd do if I ever lose you If I ever\nLook at you and what I see is heaven on Earth You're heaven on Earth\nI'm in love with you So in love\n\n[Outro]\nWe're so in love\nI said, I'm so in love\nI said, I'm so in love with you\nYeah, yeah\nYeah, um-dum5"
Brendan_Perry___Saturdays_Child,sad,1,"""Saturday’s Child LyricsFarewell, my child, it's time\nTo leave this all behind\nChanging rivers for the sea\nFarewell to Saturday's child\nCut loose before his prime\nSet adrift in the city\n\nSpeak to me now of isolation\nFeel your way home in the dark\n\nHere comes the old grey man\nBack bent before his time\nTracing figures in the sand\nHe has no more crosses to bear\nSat upon his rocking chair\nGazes out toward the sea\nSpeak to me now in visions\nSeen through a looking glass mind\n\nSpeak of your inhibitions\nYou still have your mountain to climbYou might also likeEmbed"", 'default'"
Broken_Social_Scene___Cause__Time,sad,1,"""Cause = Time Lyrics[Verse 1]\nYou come in, check my time\nYou've got fornication crimes\nI've seen your hope on television\nWhere you've been, you were not were\nThey've got tricycles in skirts\nThis is a mouth that needs religion\n\n[Chorus]\nAnd they all want to love the cause\n'Cause they all need to be the cause\nThey all want to fuck the cause\n[Verse 2]\nSo take me down, down through this\nKill the common law that missed\nThis is the blood I love to share\nLittle pistols and companion halls\nDesperation tentacles\nI've been alone since '89\nWe've gotta menstruate in disguise\nThey know the three completes the five\nThis is a church that should believe\n\n[Chorus]\nAnd they all want to free the cause\n'Cause they all need to dream a cause\nThey all need to be a cause\n\n[Verse 3]\nYou've got all and it's\nPretty good, but I\nSeem to be in disbelief\nYou come in, check my time\nYou've got fornication crimes\nI've seen your death on television\nCue immortal childlike times\nSeparation is divine\nHere is a strike beneath your knees\nSee Broken Social Scene LiveGet tickets as low as $42You might also like[Chorus]\nAnd they all want to love the cause\n'Cause they all need to be the cause\nThey all want to fuck the cause\n\n[Verse 4]\nTake me down, down through this\nKill the white within the bliss\nHere is a waiting room that wants to save your life\n\n[Chorus]\nAnd they all want to love the cause\nThey all need to be the cause\nThey all want to dream a cause\nThey all need to fuck the cause2Embed"", 'default'"
